x	y
9	27
9	25
10	461
24	463
41	471
49	473
65	481
78	484
106	504
125	506
4	489
18	494
51	496
4	102
16	69
21	62
24	48
40	26
3	434
18	436
58	447
75	455
118	477
128	486
158	500
179	500
179	500
183	500
2	402
14	411
17	371
32	392
44	407
77	430
96	437
108	443
123	448
150	464
173	492
13	153
20	147
15	141
30	106
40	88
46	75
56	56
66	29
73	10
16	189
18	219
19	236
19	261
20	277
23	302
21	312
28	327
28	337
48	372
72	396
91	408
101	411
112	423
120	426
138	436
156	445
178	462
183	462
204	477
230	497
246	504
37	347
42	404
47	122
37	175
38	192
48	230
53	264
65	289
66	298
73	311
85	335
92	345
95	358
107	373
119	385
128	398
139	410
160	426
179	430
203	449
224	462
232	462
244	471
270	492
288	503
298	511
42	358
46	319
54	337
72	364
87	379
67	85
73	77
74	62
79	53
93	24
105	4
66	142
63	166
64	192
68	220
79	252
85	265
88	285
95	299
109	318
121	350
152	384
172	402
193	412
228	436
251	450
272	461
284	473
315	493
324	501
95	99
103	67
113	44
117	37
131	7
135	10
91	153
88	192
91	212
102	243
104	255
107	268
117	286
120	289
132	316
138	327
152	344
154	352
174	369
200	405
122	88
128	63
139	45
156	26
173	5
116	120
112	159
118	198
122	222
129	243
129	253
135	273
149	291
154	308
166	323
184	342
193	358
215	375
229	390
244	413
264	425
276	432
297	450
305	457
323	465
327	472
355	488
370	497
143	108
152	77
166	58
172	43
188	26
202	14
221	2
138	158
144	181
145	213
147	234
159	260
171	283
175	288
184	303
208	329
219	349
235	363
247	378
267	400
277	405
306	431
323	441
349	458
371	475
176	3
170	129
174	114
177	102
192	66
214	47
214	47
221	38
230	29
253	16
166	161
164	173
166	191
166	194
168	209
180	236
193	270
215	302
240	332
249	341
259	346
270	361
280	378
296	389
302	394
313	409
348	427
368	440
385	461
408	480
424	492
177	374
194	23
192	137
200	113
206	98
232	68
248	55
285	35
298	32
315	23
319	26
345	19
367	12
377	16
395	13
429	15
466	32
486	35
499	39
502	46
196	172
195	204
203	230
207	238
205	243
229	278
232	286
239	288
245	299
259	313
269	327
283	341
305	362
321	379
343	397
348	405
193	317
204	57
209	332
214	86
224	133
220	124
230	113
245	98
260	83
281	67
300	61
306	60
328	52
356	40
374	38
404	41
425	50
447	51
473	54
491	67
221	181
215	185
215	191
221	188
219	211
234	239
257	272
245	151
254	124
265	105
308	95
331	90
353	97
390	104
406	106
427	117
440	128
457	137
480	149
493	161
242	153
248	181
245	191
247	214
264	250
268	261
271	161
308	141
320	146
343	141
362	141
397	157
410	170
423	178
432	198
445	212
450	214
464	235
471	241
487	264
495	276
511	288
265	395
259	313
275	373
301	390
290	123
325	115
350	121
365	123
396	130
406	131
417	143
429	149
438	155
447	156
455	166
485	182
488	193
506	204
289	187
298	188
318	194
341	212
351	218
374	242
384	254
400	270
429	296
456	314
469	322
477	332
504	352
278	218
279	232
291	252
297	267
307	285
316	303
324	313
338	329
345	343
360	356
370	365
395	387
402	398
411	409
435	424
452	440
469	460
480	473
510	492
290	305
305	329
324	346
337	368
351	376
365	390
377	403
399	431
416	444
429	459
445	476
451	482
468	492
470	494
283	66
287	183
287	174
300	172
324	170
333	176
339	180
365	199
371	209
391	220
409	237
434	265
444	283
292	196
300	221
309	231
312	251
333	274
331	271
335	286
345	301
358	320
378	343
379	341
390	355
402	368
423	383
445	405
456	409
486	441
507	458
336	236
350	258
372	273
381	278
402	304
408	306
426	316
440	328
461	355
479	360
495	375
502	383
365	170
400	197
424	223
439	238
449	258
456	266
468	279
480	291
492	304
511	321
370	70
391	73
421	82
444	94
465	108
489	124
361	227
386	343
385	317
397	328
416	343
415	341
440	366
449	376
468	392
477	397
488	404
501	417
393	466
410	404
431	424
417	246
422	289
463	205
473	210
493	227
505	249
460	192
479	87
499	99
456	137
467	273
465	139
468	354
493	10
487	306
483	155
495	413
