x	y
19	3
8	43
23	23
15	69
25	63
40	42
53	23
80	6
480	6
500	16
510	23
510	28
7	135
15	119
16	170
34	146
46	126
1	250
14	219
25	209
30	203
44	182
52	171
80	138
84	129
10	313
15	292
29	261
32	248
47	228
56	217
68	205
74	187
92	170
115	138
125	133
7	385
19	361
28	325
44	289
30	502
38	483
40	471
41	451
40	449
54	423
57	414
53	380
51	362
54	341
58	335
66	306
74	287
86	240
85	232
103	209
106	195
113	182
122	177
133	169
143	158
163	134
64	494
63	481
69	474
66	457
89	506
91	467
92	438
89	428
88	423
84	398
83	382
90	347
86	343
86	321
87	319
14	469
15	446
19	432
23	418
29	402
38	390
53	373
16	72
51	73
56	70
79	47
82	45
95	34
117	21
113	18
116	21
148	2
416	7
430	11
446	15
458	29
480	44
506	60
41	45
79	89
102	67
114	62
139	46
142	41
167	29
177	26
175	23
208	16
228	13
247	11
288	9
299	9
327	10
339	17
357	15
378	23
399	25
433	42
441	54
468	71
504	91
107	100
125	90
126	83
136	78
155	70
171	60
193	48
114	266
125	227
148	198
161	175
180	158
199	139
219	132
110	287
117	307
114	325
116	354
118	375
113	388
119	419
117	441
122	466
139	491
144	494
150	511
148	107
171	93
188	79
205	69
223	63
236	59
248	55
252	48
262	48
275	47
296	44
302	43
335	47
359	44
380	52
409	64
161	134
149	348
151	344
145	337
143	317
144	289
148	260
157	253
162	230
170	220
182	201
196	181
218	164
245	153
271	146
290	143
321	153
347	162
361	162
382	170
400	187
409	194
435	221
454	234
479	262
479	264
487	273
498	295
506	313
510	320
148	401
147	422
153	434
154	458
155	458
164	477
178	492
188	505
174	412
177	427
190	456
202	474
208	485
213	495
189	260
191	241
205	220
217	201
235	210
231	217
222	229
179	311
184	350
194	394
198	398
209	427
220	453
241	484
246	493
217	96
243	87
270	81
285	77
305	75
340	71
378	78
389	88
412	92
432	92
443	94
471	110
486	119
216	378
226	400
226	416
236	426
238	437
251	454
255	468
271	481
282	491
224	266
248	244
250	238
251	236
262	221
277	214
304	208
331	215
347	230
357	237
359	239
360	248
380	275
390	296
412	324
433	361
436	373
446	389
463	417
474	449
480	470
484	489
220	312
221	327
223	336
233	349
235	364
242	379
246	388
251	398
264	427
274	438
294	468
302	477
222	60
266	185
294	182
334	188
348	194
371	203
386	222
406	245
410	267
413	269
424	292
435	309
446	322
455	346
465	363
474	374
484	396
487	402
497	427
509	449
265	268
293	278
309	306
318	323
315	329
327	350
334	382
344	394
346	410
347	422
357	438
373	463
387	483
418	509
254	322
260	337
264	354
263	354
274	383
279	390
295	411
312	440
334	461
343	474
364	510
260	411
294	104
307	104
330	99
341	102
368	104
380	106
399	117
303	243
326	258
339	271
342	307
347	326
361	355
372	384
378	392
383	412
397	438
402	450
418	469
436	486
442	496
286	318
292	348
297	356
300	362
303	376
308	393
318	409
277	451
339	127
359	132
386	140
399	149
421	160
432	176
455	192
468	212
481	229
500	249
383	334
392	348
404	375
411	391
428	415
433	431
449	456
381	211
432	133
441	143
460	159
466	169
483	181
491	200
503	214
454	284
475	313
492	339
507	369
459	163
496	162
499	168
494	158
485	480
