x	y
337	4
336	1
346	4
368	10
402	25
427	36
449	46
471	61
490	69
504	75
18	27
32	28
52	18
69	14
77	12
106	8
122	8
137	6
148	4
158	5
20	94
5	173
13	160
31	127
46	119
67	100
90	90
114	79
143	67
165	61
183	61
190	63
218	55
249	58
260	66
277	66
291	73
326	93
354	102
365	114
397	131
423	150
434	160
454	184
465	190
473	203
484	225
493	257
468	250
451	237
447	221
435	205
431	200
414	180
405	173
17	353
32	342
36	336
62	300
75	273
83	257
88	228
2	412
7	404
14	400
35	384
56	365
79	335
96	333
2	462
32	435
56	411
68	394
94	360
24	503
47	493
48	494
60	488
91	461
108	443
118	434
132	414
140	401
140	399
143	395
157	376
158	357
182	321
185	288
185	265
150	507
166	501
179	506
178	502
200	505
216	503
14	241
17	232
20	218
30	196
49	173
58	162
61	153
79	141
101	121
126	104
142	94
171	94
188	95
212	91
225	96
260	103
269	100
297	114
323	123
333	132
339	136
351	142
363	161
365	163
371	180
374	206
388	245
394	276
405	295
413	320
428	344
443	361
451	377
471	402
492	423
511	440
19	64
46	59
63	58
83	47
107	42
145	33
185	28
212	25
237	21
257	21
278	27
298	29
331	33
357	38
371	49
383	49
410	63
435	82
459	96
473	106
480	117
488	131
511	151
13	313
23	303
36	269
39	269
49	252
49	234
58	214
83	186
94	176
121	154
141	141
155	129
171	125
203	127
215	128
228	130
235	131
245	130
262	140
275	144
297	155
306	161
328	182
342	204
342	217
353	248
362	276
19	400
26	201
61	449
74	431
89	422
98	401
103	396
114	379
120	368
127	347
140	323
143	298
150	268
155	250
162	227
177	206
67	151
106	491
118	480
141	455
153	438
96	330
100	305
108	279
122	252
127	234
130	216
134	193
155	175
178	159
190	157
202	159
229	163
242	166
264	193
279	221
277	225
295	265
299	285
311	311
327	330
335	334
356	352
374	369
385	373
398	391
405	398
424	414
434	418
459	438
472	451
491	464
504	471
111	385
182	443
184	416
187	393
191	361
185	342
213	196
244	217
249	236
262	264
265	273
269	297
281	316
292	336
297	351
318	384
321	391
343	418
366	433
217	326
219	359
236	397
240	411
263	431
274	441
280	449
284	456
307	468
336	486
366	505
379	509
386	510
220	242
230	258
234	279
247	325
262	362
269	375
283	399
306	424
327	445
351	454
364	465
383	470
387	480
404	482
427	500
237	453
244	465
266	487
279	488
301	507
251	471
255	425
282	178
287	188
302	204
311	230
316	240
328	266
334	285
345	303
362	311
371	317
374	322
398	355
272	442
272	490
278	490
321	328
337	341
348	66
372	78
396	89
409	97
422	112
444	127
456	143
476	159
498	190
503	200
358	392
370	400
390	420
417	452
434	468
448	472
447	474
475	488
503	506
371	403
397	203
411	232
423	254
428	278
440	298
450	315
454	320
459	330
487	355
501	365
511	372
510	332
505	320
488	306
474	295
459	15
494	33
506	40
485	358
467	154
498	268
508	283
