x	y
502	2
508	3
29	18
39	5
1	98
21	83
56	63
59	63
101	45
120	35
151	22
174	18
199	7
222	2
291	5
328	17
353	25
372	34
380	42
412	60
8	119
21	111
55	97
54	94
65	83
100	71
122	64
147	51
152	49
176	42
200	37
209	28
239	30
258	25
287	28
287	26
296	34
326	43
356	56
377	70
408	79
443	90
467	106
491	122
499	127
11	149
43	132
50	119
85	107
101	96
114	88
140	78
145	79
167	70
177	71
194	66
216	60
236	56
259	48
280	50
290	53
320	64
9	179
30	173
48	166
70	157
87	156
104	147
130	134
136	139
138	134
164	127
183	124
202	118
216	120
227	120
258	122
278	123
310	127
329	134
320	149
294	148
266	141
249	140
225	142
196	147
161	149
131	160
102	174
81	181
75	183
51	191
30	195
8	201
10	229
18	224
49	217
69	206
75	207
107	198
112	195
132	191
139	192
166	193
201	193
213	191
222	188
222	192
257	191
278	193
296	190
301	195
327	197
329	196
337	200
370	208
388	214
430	223
433	226
461	235
481	234
510	241
11	274
21	269
30	271
44	265
59	261
65	254
86	253
114	243
139	243
148	237
172	240
223	234
229	233
247	235
272	237
312	241
322	240
363	242
361	245
388	244
416	251
435	251
479	263
498	265
36	296
53	295
80	296
112	289
146	287
175	285
203	287
222	284
233	281
268	278
304	279
344	295
365	294
375	297
379	302
391	298
433	306
452	311
476	310
503	320
1	323
20	324
47	320
68	318
89	317
126	313
153	312
170	310
207	308
226	304
234	305
261	306
282	305
309	306
316	305
12	348
27	349
42	341
61	345
73	345
76	341
109	339
143	337
165	335
185	332
200	337
221	335
244	331
247	327
265	332
291	326
310	327
340	325
348	323
370	323
400	326
433	338
440	340
447	341
449	339
475	343
492	340
20	366
51	366
76	371
92	365
119	362
148	367
170	360
189	363
224	359
231	359
252	354
273	352
306	354
322	353
349	356
365	354
394	355
399	357
3	390
23	394
43	392
63	392
83	393
103	393
135	389
158	387
181	388
199	387
234	382
244	383
266	379
291	380
303	381
343	378
379	380
404	378
410	378
424	371
431	373
443	369
463	371
484	365
35	417
57	409
89	414
100	415
137	418
162	410
174	415
216	411
233	408
265	407
294	405
328	404
348	410
381	407
404	401
433	402
451	401
481	400
1	434
35	436
46	439
78	435
85	434
117	434
148	437
170	439
186	436
214	434
226	434
260	437
290	435
316	436
340	433
358	431
387	428
416	433
437	429
455	430
465	429
494	423
505	426
22	461
60	463
83	462
117	459
150	463
165	461
190	464
222	459
238	463
248	457
277	458
285	459
315	461
353	457
375	459
419	457
456	458
493	458
31	487
81	485
99	488
107	483
135	488
147	487
156	488
170	482
204	482
230	482
248	482
300	484
308	481
336	486
354	484
378	486
393	489
411	487
428	487
456	491
498	484
9	508
40	508
80	506
115	508
155	508
164	509
206	509
242	503
262	505
275	509
289	504
320	507
349	511
1	67
20	50
36	41
46	34
68	15
419	5
435	13
454	29
478	50
498	62
497	64
27	247
44	240
72	229
107	221
133	221
166	216
201	211
243	210
278	212
282	216
303	214
322	221
342	219
29	83
32	42
39	142
69	136
72	135
99	126
111	122
137	108
150	106
161	98
206	94
218	98
246	95
250	94
278	99
307	103
332	108
345	112
355	118
388	127
415	140
449	154
474	159
492	163
510	171
94	26
116	14
362	1
366	3
381	8
387	11
399	19
413	30
424	42
441	57
470	78
472	82
497	95
98	274
118	268
134	269
137	268
170	259
202	261
217	256
242	257
268	255
297	261
307	263
336	264
101	172
183	172
206	169
229	165
262	170
291	166
297	168
334	170
348	174
382	184
395	191
403	193
411	198
440	203
463	207
249	74
272	74
280	79
287	75
313	79
334	83
364	96
373	95
393	101
423	111
455	129
466	136
476	142
486	20
490	24
510	35
358	151
364	151
380	158
399	163
431	177
448	177
475	186
502	200
403	277
434	278
449	280
481	289
506	290
486	119
