x	y
2	33
24	20
44	17
58	15
66	13
16	54
29	51
45	47
72	37
96	31
121	29
153	27
188	23
211	23
239	28
281	27
310	30
323	33
344	39
373	40
379	46
394	51
421	55
447	63
459	70
504	77
506	79
17	89
27	84
33	80
69	68
92	63
128	59
153	54
161	50
173	48
194	52
239	51
252	57
277	54
299	56
19	117
30	111
55	99
67	92
86	89
97	81
122	85
143	83
171	80
185	72
207	75
236	66
3	157
22	140
11	184
33	159
53	134
71	126
84	115
91	116
92	114
106	106
7	220
27	197
41	182
65	161
75	152
102	134
125	119
142	109
165	105
210	98
230	95
235	94
246	91
265	83
275	84
303	86
325	94
350	97
364	98
395	108
408	108
424	117
445	117
464	130
482	136
4	270
8	268
22	245
41	227
61	202
85	179
92	168
119	151
144	144
151	133
177	128
192	126
208	119
233	117
252	111
295	111
316	118
343	121
351	123
394	137
8	306
27	287
46	251
58	239
74	217
18	341
33	332
53	309
66	300
82	280
97	264
107	242
110	239
138	210
153	191
161	187
164	182
187	167
197	159
208	151
13	425
34	414
82	388
98	379
104	362
120	350
140	330
149	322
155	306
156	298
164	281
175	261
188	244
195	225
226	199
258	188
280	184
302	181
315	181
13	446
33	441
39	438
66	426
88	414
112	402
137	393
154	388
163	380
191	363
210	336
227	322
227	316
235	304
253	274
258	268
260	244
256	228
279	211
295	209
303	211
334	211
367	224
379	236
388	254
406	273
413	282
437	300
451	311
464	316
476	330
500	342
511	348
4	479
20	476
37	467
40	468
47	468
71	457
97	458
118	458
133	455
141	447
155	447
165	442
189	435
222	427
238	421
259	412
276	389
1	397
16	390
28	367
38	355
60	337
75	321
93	302
103	290
123	262
132	239
150	226
175	207
182	197
205	185
220	178
228	171
239	172
271	163
26	506
46	496
59	495
70	493
93	483
89	487
123	481
141	475
170	469
196	461
231	450
231	451
255	444
288	445
301	441
337	446
36	386
51	377
66	365
85	344
95	335
109	325
119	310
128	296
139	279
156	251
159	240
68	263
68	257
72	254
90	230
106	203
124	175
143	164
159	159
170	148
55	203
63	335
78	444
100	435
112	428
130	423
128	424
142	423
165	411
180	406
191	395
204	383
216	373
242	342
251	332
265	307
277	303
280	285
283	273
281	264
291	247
85	114
118	505
138	508
167	498
196	487
203	485
209	487
230	480
258	470
272	472
283	473
316	467
356	478
390	481
404	482
426	494
454	500
467	505
121	372
142	364
154	352
167	337
180	332
194	318
205	308
210	301
219	284
224	278
231	255
241	244
244	236
132	243
187	287
201	267
203	255
210	245
208	246
223	236
184	298
234	391
248	380
262	363
264	358
277	330
280	308
228	224
230	220
235	500
261	494
280	498
281	499
307	499
340	503
374	502
382	506
262	142
288	413
317	415
352	422
362	426
391	442
408	451
413	453
438	461
461	473
478	476
505	487
297	259
301	269
308	287
306	300
311	321
322	340
332	361
368	396
388	409
409	418
437	434
474	445
496	460
316	244
321	254
332	275
351	294
374	318
385	328
388	330
399	344
423	357
440	366
470	380
493	394
500	397
343	187
357	191
373	199
388	208
403	226
410	239
419	244
420	247
427	253
443	274
354	6
380	11
412	16
353	161
385	163
410	165
421	171
422	171
454	179
467	189
479	197
497	222
358	253
373	277
381	289
403	306
415	321
440	336
443	336
465	352
490	361
362	69
393	79
424	87
451	93
471	98
485	103
507	115
352	341
376	363
385	364
403	382
419	391
450	410
474	420
509	432
339	367
355	216
404	187
416	190
462	225
478	244
482	248
492	262
507	279
416	247
422	395
468	162
467	158
492	172
505	180
510	184
462	262
480	292
469	45
499	48
485	167
510	19
