x	y
7	504
16	475
23	477
48	491
72	510
154	2
131	11
110	28
84	42
59	62
51	73
39	81
28	91
8	333
33	353
49	366
62	378
71	392
86	401
101	412
111	420
202	23
190	27
179	47
149	69
133	88
123	92
101	114
73	128
61	142
51	155
47	160
35	178
34	198
31	216
32	233
37	236
237	36
222	46
207	59
182	76
172	91
154	106
136	132
125	147
118	153
112	168
105	188
104	191
101	213
96	232
99	245
102	261
104	264
113	289
121	307
129	320
131	318
306	16
287	31
279	37
260	59
244	72
228	97
221	116
199	147
195	168
188	205
188	231
195	262
386	10
372	30
361	43
343	68
334	83
314	101
293	132
285	143
276	168
277	197
278	233
279	244
279	249
283	274
292	283
293	303
433	9
416	25
399	46
385	65
381	76
370	89
366	98
356	118
351	126
335	166
335	179
330	201
332	234
338	255
339	267
354	286
363	276
363	256
361	230
360	208
371	171
370	158
384	133
395	114
403	104
419	82
430	65
443	41
466	14
506	11
500	14
494	23
482	43
475	56
470	66
462	72
444	105
435	118
427	125
428	125
424	134
418	145
411	152
410	166
399	189
393	215
392	228
390	244
394	259
398	275
397	292
401	300
408	312
416	315
509	156
506	187
501	190
509	232
506	257
99	1
81	13
66	25
44	36
25	48
16	55
19	386
31	399
57	416
71	428
91	441
111	457
134	465
146	475
163	487
177	493
204	510
45	3
12	15
1	27
498	67
498	71
483	93
464	122
457	137
446	145
441	170
205	18
336	27
320	37
317	46
295	69
286	84
269	108
261	113
261	125
250	140
252	161
247	171
245	197
247	217
244	221
246	223
247	244
251	256
262	284
277	310
425	13
234	33
223	44
222	49
142	38
135	44
118	56
86	81
77	89
57	104
44	122
30	132
15	151
9	154
3	177
479	48
388	66
173	91
281	87
10	418
38	448
41	450
61	466
70	467
91	482
118	494
142	507
175	131
167	143
165	148
142	176
132	189
129	199
132	219
133	235
136	268
146	293
154	308
172	336
180	358
202	381
214	387
213	394
237	425
241	431
249	439
277	463
285	466
310	492
315	109
91	133
90	141
88	149
74	170
74	192
67	206
63	230
69	249
71	255
76	292
82	302
92	318
114	339
122	352
139	361
152	375
158	384
173	399
184	407
200	423
226	450
232	467
249	477
268	491
288	506
485	144
474	173
470	194
478	227
481	258
485	266
468	289
465	282
454	252
449	231
229	152
225	167
221	185
219	200
221	223
220	238
221	259
225	279
230	290
241	318
253	336
268	346
277	358
281	364
313	151
305	183
304	209
310	252
314	269
315	279
321	287
327	309
336	323
345	339
360	359
376	385
378	390
387	395
398	410
412	424
408	163
159	224
164	243
175	276
180	290
194	313
207	329
222	348
249	375
252	378
270	388
300	400
320	416
346	442
360	454
373	473
404	503
12	257
30	293
51	317
62	335
76	356
103	370
114	385
123	395
133	403
152	432
166	443
189	462
207	478
217	489
233	501
433	294
448	316
455	331
465	347
478	361
490	382
500	403
359	285
362	303
375	318
393	344
406	364
479	298
494	329
499	348
310	346
319	366
329	377
335	388
353	402
364	416
380	435
395	449
410	458
437	349
448	368
452	372
476	407
486	431
491	440
498	444
502	450
503	451
135	355
209	381
337	389
122	393
137	406
441	401
440	406
443	408
505	404
278	430
303	444
322	466
340	478
355	497
370	427
83	439
451	452
454	451
469	461
475	469
495	492
510	503
511	503
456	495
463	503
