x	y
6	511
24	486
45	504
53	511
39	13
24	25
14	31
69	4
101	9
156	9
131	26
111	32
88	47
72	59
41	80
24	109
23	112
7	139
3	154
8	379
18	392
25	410
43	423
60	442
81	456
101	471
102	469
108	470
136	485
141	485
157	493
171	506
181	509
324	5
309	11
283	22
253	36
247	35
223	43
214	46
194	53
165	67
165	69
141	81
122	91
95	112
79	136
52	173
54	180
41	218
41	238
45	263
49	280
57	303
78	331
105	364
119	377
130	383
149	394
162	395
187	404
204	409
207	412
225	414
242	422
254	423
263	427
295	439
314	444
331	447
344	451
368	465
400	476
427	491
447	500
464	504
480	507
440	1
420	7
401	14
378	19
344	24
481	8
451	29
440	36
417	35
383	41
348	48
339	49
310	57
282	58
258	56
247	64
242	63
499	28
487	38
468	57
457	63
436	63
432	66
394	69
377	75
352	83
346	83
316	83
302	88
301	87
286	88
268	86
493	88
474	92
437	97
399	91
252	2
245	7
223	10
206	23
178	27
169	33
144	47
141	50
131	58
115	63
106	74
84	82
68	99
58	110
50	123
41	140
34	153
27	179
19	190
16	222
14	224
17	236
13	269
23	291
27	309
32	322
45	342
62	357
89	383
111	403
123	414
130	416
150	426
169	433
196	436
220	445
223	446
248	450
267	455
298	463
330	476
344	483
368	495
370	493
386	496
406	506
49	39
23	63
9	79
5	427
14	436
19	444
32	456
49	472
67	487
88	501
108	506
97	48
177	89
176	94
157	105
141	118
117	133
119	133
111	138
106	146
83	173
76	210
70	216
70	261
93	302
113	331
143	350
171	370
205	373
237	376
265	376
278	373
296	376
308	380
339	389
352	398
361	403
378	411
418	423
427	436
437	438
467	453
473	461
488	471
501	487
207	111
191	116
268	114
279	110
302	110
306	111
327	112
347	113
363	115
401	122
427	122
454	126
469	132
503	140
200	137
169	145
144	159
129	161
110	189
101	236
112	273
125	298
146	323
165	332
180	339
195	339
230	346
270	347
296	348
325	354
343	358
359	366
372	374
388	380
406	392
425	399
449	413
473	425
488	438
505	447
258	134
274	135
304	139
325	138
345	140
363	145
396	147
416	154
432	153
451	160
467	163
479	173
498	195
183	172
154	186
149	189
142	204
135	216
136	252
145	265
153	277
182	290
204	288
213	287
229	292
262	290
221	163
248	160
262	165
282	169
300	167
307	169
317	170
342	167
355	170
360	172
383	173
384	176
386	173
399	176
411	183
435	187
454	198
474	212
488	221
506	234
507	170
165	180
192	196
181	199
169	211
165	226
174	253
182	256
207	264
232	265
248	191
271	196
286	195
297	195
333	202
346	202
363	201
371	205
387	207
395	208
427	217
435	227
457	237
474	246
487	258
497	268
510	278
209	215
232	216
234	220
255	219
265	227
293	229
293	238
303	243
324	247
367	257
369	257
410	274
339	222
374	232
388	235
415	249
437	260
465	280
479	287
487	293
499	311
227	243
241	250
278	263
303	273
323	277
340	282
354	283
369	287
378	293
411	298
424	299
445	307
473	322
485	335
499	350
155	279
170	309
191	311
214	320
238	317
246	318
279	322
324	325
340	325
360	337
384	343
413	356
437	371
445	377
464	390
482	399
491	406
506	421
389	320
413	327
429	331
430	335
444	342
461	353
475	362
510	383
43	378
53	397
67	402
88	422
115	440
130	448
161	459
190	468
205	472
236	479
245	476
267	483
266	486
275	486
301	495
308	499
313	501
333	510
61	400
288	403
300	412
312	413
340	421
360	429
381	434
378	436
415	456
434	465
465	479
127	414
504	420
6	428
484	433
75	487
219	501
245	507
245	510
