x	y
1	12
18	1
13	119
33	99
46	71
62	59
58	56
67	48
91	31
89	34
2	174
29	151
45	131
53	123
67	98
75	94
86	82
109	52
122	31
148	14
506	7
13	211
5	335
7	329
16	299
18	283
25	277
38	241
41	223
47	218
52	203
62	176
67	167
69	161
79	141
95	128
109	104
125	82
144	60
157	49
181	36
193	23
207	17
230	9
238	10
250	4
403	6
419	7
432	13
450	17
468	22
484	30
505	44
7	477
2	474
12	470
16	449
23	433
27	410
24	393
28	374
37	344
43	323
44	314
54	280
60	279
65	264
73	239
90	207
104	178
102	179
117	155
127	138
143	113
159	93
174	83
192	69
201	57
230	48
259	37
289	36
300	31
324	33
365	36
389	37
421	51
437	72
461	87
469	94
496	108
506	119
2	86
2	53
28	38
42	22
51	22
70	8
74	5
28	506
44	484
50	447
69	439
80	453
87	480
101	494
105	504
119	510
38	142
66	404
63	391
69	359
73	335
74	337
74	321
94	302
98	266
103	252
121	222
126	215
132	203
149	181
159	160
160	157
169	138
188	109
205	95
230	79
247	74
256	68
81	40
102	331
105	358
105	385
101	397
100	410
104	433
120	466
120	467
139	488
150	495
115	463
136	294
139	276
137	268
147	237
153	229
132	320
140	347
147	372
164	392
189	412
218	428
248	444
251	443
253	445
263	450
274	450
277	454
296	451
318	453
343	443
346	442
368	437
400	415
403	413
413	403
429	385
449	363
460	350
457	351
476	324
482	296
484	295
484	289
484	285
488	253
488	228
485	217
470	188
463	172
449	156
436	150
424	138
397	133
381	123
331	119
322	123
295	127
281	131
267	141
242	157
235	172
226	194
217	211
217	233
222	268
224	284
239	314
248	329
283	349
316	354
336	355
342	352
360	344
390	327
405	311
419	272
422	257
420	250
418	237
412	220
413	216
399	192
385	178
357	161
330	158
306	165
290	168
279	174
265	187
258	208
255	208
252	232
251	261
256	284
156	460
179	482
195	502
419	498
428	486
458	450
477	429
481	408
485	383
492	367
499	354
506	333
511	314
510	203
511	186
495	167
483	150
480	145
463	129
443	111
437	109
414	97
393	82
369	78
340	64
320	65
170	431
190	452
215	464
254	482
270	484
297	492
328	487
357	478
379	472
408	455
436	428
453	412
461	402
160	303
164	308
170	325
175	343
196	371
211	388
239	407
251	410
274	416
300	418
309	420
335	406
359	393
392	376
403	362
407	358
428	337
438	312
443	308
451	290
458	260
451	241
449	219
439	200
426	173
410	156
483	511
507	496
191	113
182	213
187	190
199	159
224	132
248	112
257	110
269	104
290	93
183	271
192	297
201	316
209	328
220	346
229	353
242	367
278	385
293	388
291	389
210	382
200	502
210	429
274	175
287	237
295	220
311	203
317	202
340	196
355	201
378	221
383	234
381	266
377	293
347	315
319	320
297	306
296	302
294	284
287	261
320	271
353	259
349	260
396	193
412	349
432	429
436	109
475	63
489	71
496	75
483	470
511	426
