x	y
7	11
507	14
16	121
34	98
36	96
51	85
71	62
101	42
109	29
114	25
129	22
340	9
346	24
357	29
371	47
389	63
412	95
413	103
422	122
430	136
431	162
433	191
428	213
423	237
418	262
414	266
17	458
27	443
40	420
16	504
38	483
57	469
71	464
212	511
222	508
249	507
278	508
301	501
325	492
330	495
344	487
354	485
374	477
388	472
394	465
407	458
426	441
426	442
437	421
386	511
417	490
11	202
12	190
22	169
33	145
7	63
32	47
47	32
70	16
2	324
7	310
4	425
11	415
16	409
74	503
94	498
107	493
113	488
132	486
132	484
172	486
190	480
211	483
252	473
282	470
306	462
329	454
349	453
361	449
375	439
394	427
412	408
44	91
36	369
40	342
39	316
44	295
41	277
44	260
37	252
40	230
43	223
49	188
57	163
63	154
75	124
81	116
98	90
118	72
137	50
153	39
179	31
195	24
205	22
223	17
256	20
281	20
78	304
74	282
80	273
78	261
84	227
84	207
94	180
95	159
106	144
115	130
127	115
149	89
170	72
171	69
192	58
75	365
80	382
82	415
93	434
107	435
117	437
139	449
161	447
184	447
211	451
234	449
236	445
257	448
288	439
319	424
341	417
103	89
109	79
106	346
113	356
120	362
124	376
138	384
115	226
122	214
122	206
134	176
140	145
120	285
123	301
131	317
146	345
167	359
173	367
199	381
213	383
236	376
240	376
265	369
282	367
309	358
311	353
330	341
359	318
364	315
363	307
376	290
378	272
392	246
400	200
404	185
403	172
392	147
387	129
372	108
362	95
359	91
342	71
335	66
300	53
152	267
152	278
162	302
179	315
203	338
216	340
222	339
168	412
181	416
208	418
244	411
273	408
160	358
165	180
168	169
171	143
172	118
188	102
210	86
221	77
242	72
270	75
301	94
317	102
335	118
344	151
345	160
348	179
339	209
330	227
311	251
303	270
294	277
277	290
253	303
237	302
218	304
210	295
189	277
182	251
177	234
168	203
168	197
170	310
204	289
207	155
231	122
248	117
205	195
210	216
215	241
215	248
226	266
258	336
267	331
294	327
318	308
336	277
356	245
366	213
369	201
378	178
244	152
253	150
253	148
265	154
278	192
278	194
280	210
282	227
278	250
241	209
249	228
253	253
243	303
278	122
301	136
298	137
312	163
310	196
386	1
415	27
436	57
449	79
457	108
469	140
466	143
465	167
469	172
462	214
456	237
445	269
438	296
418	301
398	328
375	356
369	357
355	373
337	381
326	389
338	380
447	6
465	20
468	35
483	66
494	92
502	129
506	152
506	154
503	156
504	174
501	189
504	198
503	209
497	232
494	237
494	240
490	252
485	283
477	300
476	301
478	313
469	343
465	357
446	392
377	351
383	391
389	385
400	375
420	357
430	348
436	326
444	313
410	495
452	499
458	475
460	467
467	440
471	424
475	412
456	366
479	49
502	371
504	350
500	448
499	431
508	408
500	488
