x	y
489	9
493	23
501	49
510	68
12	5
9	3
6	99
12	73
23	54
32	29
43	19
48	6
453	15
459	37
470	60
473	81
478	88
485	111
482	114
486	124
491	134
495	147
499	168
502	198
507	217
12	235
15	223
21	200
20	179
29	151
33	125
38	112
45	104
47	86
58	64
68	44
87	18
412	18
424	42
438	74
450	104
448	109
451	120
454	138
462	166
467	200
469	211
481	237
481	242
485	273
489	295
491	315
495	340
504	364
508	389
508	406
5	358
6	339
17	317
23	292
35	271
45	232
45	224
46	207
52	209
53	199
56	179
56	159
63	132
66	129
68	129
74	107
83	85
95	65
115	44
4	478
11	472
25	455
24	450
43	420
56	389
63	374
66	359
75	329
82	314
91	285
101	268
97	264
104	256
106	246
113	215
115	203
117	179
119	162
123	154
127	133
132	128
132	120
20	505
31	493
54	472
63	452
66	438
80	412
88	393
97	371
108	339
117	309
131	278
139	245
148	211
147	208
152	177
155	148
159	138
158	127
171	105
185	83
196	75
222	63
232	57
264	53
282	49
295	54
318	62
328	76
336	90
343	102
348	128
349	142
346	170
336	191
334	202
335	212
331	232
320	255
311	279
309	295
72	495
85	482
96	470
118	456
133	440
147	417
160	386
170	354
173	338
184	310
181	301
182	294
186	281
187	269
185	241
187	232
163	254
161	276
157	294
148	317
147	334
136	362
124	389
110	420
105	440
101	444
163	494
169	487
180	478
195	457
219	443
240	419
249	403
258	386
275	357
273	347
211	498
222	486
243	464
255	453
270	433
282	416
295	389
307	352
331	332
339	315
347	283
351	275
355	253
358	237
366	203
370	188
378	154
107	505
120	496
145	472
154	454
157	457
173	443
185	409
194	393
192	391
199	379
201	357
210	329
216	304
218	296
218	265
223	257
11	416
15	411
20	404
25	386
37	350
36	351
44	339
47	321
56	294
65	278
70	267
69	255
77	236
78	210
86	194
89	174
90	160
98	129
109	112
119	87
141	71
152	63
180	44
190	37
206	34
216	28
247	26
340	509
340	507
357	494
366	474
370	477
377	452
380	445
390	413
393	400
392	389
399	360
400	347
402	332
412	296
415	269
419	262
422	243
421	234
432	196
427	183
431	158
429	149
416	116
415	106
412	97
399	68
389	46
379	31
374	17
127	9
117	31
127	40
131	39
138	33
172	14
186	5
202	6
284	10
320	19
336	30
353	52
365	71
373	86
378	106
384	129
381	153
253	496
274	480
288	468
299	451
309	440
316	424
327	402
333	389
331	374
146	71
179	228
181	196
184	162
187	161
186	157
198	121
214	107
225	96
247	89
273	82
278	81
303	97
318	131
190	82
217	179
217	162
227	139
240	124
268	117
295	126
308	137
213	212
227	394
233	372
239	358
245	331
249	303
250	291
248	275
257	249
262	243
268	216
268	204
272	188
280	163
273	148
293	510
310	489
314	488
336	460
342	449
340	448
354	427
361	407
368	367
364	352
367	329
374	317
381	287
387	267
389	253
392	234
393	218
395	213
400	192
400	177
392	156
240	201
241	180
248	157
282	279
281	277
290	248
292	235
299	221
303	201
310	169
315	159
276	327
316	485
335	31
408	509
419	457
420	448
419	427
420	388
426	390
425	375
431	346
434	330
442	308
448	282
452	253
404	81
420	460
435	473
457	501
460	326
459	340
462	348
452	375
447	414
458	444
469	476
482	491
482	404
488	432
495	452
503	469
495	32
