x	y
13	49
21	25
33	12
40	2
1	234
4	225
5	223
9	205
19	177
20	159
28	131
28	110
34	92
45	74
50	55
52	48
76	21
7	463
30	457
64	461
3	502
2	497
18	492
40	489
46	490
74	490
79	492
111	503
128	506
1	331
13	411
22	382
29	360
29	330
27	291
22	282
24	269
26	254
60	187
60	176
63	145
67	129
66	117
68	96
72	93
87	69
102	49
114	34
120	21
121	18
58	215
54	231
58	253
59	302
61	318
64	333
66	360
66	376
83	403
91	432
103	447
129	462
147	480
171	497
201	509
88	305
94	332
99	352
101	358
110	385
112	391
118	398
124	413
142	434
160	454
181	460
186	470
204	480
87	59
97	150
101	118
107	94
91	191
99	223
105	231
111	247
113	244
119	264
125	319
133	354
146	381
162	406
192	436
198	434
201	439
210	446
221	463
253	493
277	507
128	159
133	131
136	111
141	92
136	89
145	80
155	39
163	29
170	8
179	2
132	466
161	342
172	361
177	367
185	378
197	389
233	419
253	443
283	463
296	477
307	485
328	496
354	510
369	489
350	470
344	466
324	445
299	427
287	413
257	388
227	371
219	365
214	357
199	334
183	312
157	201
157	182
159	158
158	149
161	143
163	137
159	136
165	114
172	101
180	82
187	58
192	46
202	33
209	24
159	244
161	256
178	365
205	396
190	159
192	135
192	139
201	121
208	100
213	93
212	84
223	67
231	57
245	44
265	26
272	19
291	8
388	1
397	1
406	4
415	6
436	15
456	18
473	24
485	26
503	36
192	208
188	216
196	240
211	273
236	322
242	340
234	426
229	170
232	158
239	134
243	116
253	101
257	90
277	78
293	75
323	65
348	55
369	54
397	63
421	65
425	68
447	81
458	90
485	101
511	121
228	204
236	234
241	254
260	309
270	333
282	350
294	374
317	397
337	409
342	423
356	435
367	444
397	474
421	496
276	144
291	117
312	104
332	98
364	91
388	90
394	96
418	102
444	109
471	131
504	163
271	183
271	194
278	217
287	232
301	249
305	320
325	349
346	377
363	382
375	394
384	405
395	424
409	435
415	440
429	459
460	481
479	502
309	35
327	27
307	156
318	144
321	144
335	135
352	130
366	141
384	147
406	164
421	180
435	194
447	218
453	231
307	194
314	211
316	213
321	219
334	236
334	243
343	255
316	441
334	300
337	315
355	341
319	223
365	173
396	203
414	241
363	217
380	248
364	442
365	296
379	313
387	332
387	341
402	357
425	396
444	420
462	438
479	456
500	477
379	404
382	188
406	293
431	337
437	346
442	351
456	375
472	393
471	399
490	423
420	133
434	148
443	150
449	164
474	192
476	197
488	228
494	250
497	252
412	383
424	40
446	45
479	63
493	70
442	278
455	303
467	325
480	347
489	367
511	392
447	284
469	489
474	499
490	511
450	224
459	437
461	242
478	282
497	318
510	330
