x	y
9	27
26	17
30	15
449	2
474	26
499	47
510	68
13	59
38	43
59	22
24	86
31	80
52	56
65	51
87	29
98	17
109	5
110	6
388	9
419	20
417	17
447	38
463	55
483	66
507	97
12	196
21	173
32	163
44	139
57	124
73	101
79	100
102	80
126	65
133	54
161	35
187	26
221	23
245	22
267	24
296	29
320	35
327	41
333	44
358	54
373	70
389	78
413	102
425	114
436	131
443	144
451	149
446	146
459	168
470	189
472	195
474	205
479	231
493	263
504	285
4	274
16	253
22	234
30	224
40	205
48	183
55	164
64	150
79	134
106	115
121	97
135	88
138	88
161	70
190	54
205	50
235	43
260	49
305	61
329	65
325	69
350	80
368	96
391	121
407	137
409	147
417	149
430	167
428	174
439	192
445	210
451	224
453	232
461	259
464	298
473	322
478	334
484	349
495	356
10	320
14	302
24	284
31	269
33	262
48	234
64	202
62	207
75	180
85	162
91	148
13	365
20	344
25	327
35	309
51	280
61	260
73	253
85	224
88	204
95	188
102	174
107	164
120	148
130	133
149	113
153	110
160	106
188	88
195	86
221	75
256	75
266	73
293	77
315	91
325	98
356	122
376	142
395	168
402	179
422	201
425	219
432	252
436	266
441	282
439	283
444	301
449	324
456	344
468	365
497	397
503	409
2	468
7	462
30	434
41	413
47	399
52	385
68	359
75	342
83	324
85	307
92	292
97	267
104	246
113	217
111	205
128	175
11	487
28	470
39	459
61	425
70	403
80	381
85	369
90	362
94	344
97	340
111	311
116	290
124	261
133	235
140	206
158	166
163	140
184	122
197	116
231	99
254	101
277	105
300	108
316	126
330	134
338	145
350	152
353	158
361	179
375	212
378	234
371	250
374	273
28	506
40	502
44	489
55	472
73	454
78	443
96	416
118	403
121	392
133	372
142	355
148	327
160	304
165	287
170	258
176	234
55	511
62	501
78	485
104	453
115	441
126	428
129	417
144	390
157	368
170	343
166	337
176	321
182	308
183	280
193	256
193	240
196	221
202	212
203	191
210	186
229	163
248	150
271	154
285	157
299	171
321	204
324	223
325	237
317	263
313	277
304	291
298	314
294	334
281	349
267	362
258	377
241	396
252	417
261	401
277	387
298	367
312	352
311	343
318	329
324	317
337	298
342	270
348	238
347	232
347	195
338	182
322	164
306	147
283	137
266	127
237	128
218	134
209	143
197	152
172	191
161	212
158	217
154	232
146	250
147	271
137	284
133	304
135	302
126	324
119	351
111	362
109	367
100	388
98	393
91	407
126	499
143	487
141	488
156	467
171	457
198	425
212	412
212	400
231	375
238	372
255	346
263	327
274	311
283	284
287	262
289	256
296	232
290	200
159	499
169	485
184	477
210	451
223	432
232	424
303	508
317	501
342	490
372	483
381	479
398	482
430	487
442	491
476	503
9	149
18	130
51	97
54	86
63	75
79	66
96	51
125	33
151	14
163	8
171	2
306	5
321	10
326	7
343	18
355	27
360	27
397	41
405	58
415	72
431	81
444	99
452	107
467	132
467	136
476	141
490	176
508	197
9	415
28	390
41	362
48	347
56	323
61	315
73	285
4	501
33	73
32	12
35	7
42	297
86	129
217	498
234	487
255	475
259	472
269	468
286	443
301	428
327	402
354	370
364	359
371	337
370	341
374	312
93	500
118	474
131	466
143	450
151	445
152	440
165	432
173	417
193	399
204	372
209	368
211	359
224	320
227	303
230	283
245	242
248	230
254	214
176	378
183	360
196	338
201	320
206	300
207	285
218	260
221	229
237	195
256	174
196	489
208	477
236	455
261	435
272	419
278	421
290	412
305	396
325	372
336	347
345	341
350	323
353	318
361	305
202	421
244	507
278	494
314	476
331	470
352	464
367	463
390	459
426	466
449	470
471	480
482	486
501	501
246	318
249	310
254	292
266	262
269	233
273	470
300	456
323	445
336	438
360	406
376	380
287	198
295	433
322	478
352	438
375	434
403	436
436	444
447	435
437	427
418	416
379	502
396	502
411	511
394	122
387	79
396	199
397	212
403	236
419	269
417	285
423	300
423	325
425	331
430	344
440	359
459	387
471	410
471	420
400	292
402	314
398	324
404	348
402	356
406	362
422	80
430	83
452	418
456	83
469	90
481	106
497	127
505	133
468	454
487	462
509	475
468	94
482	283
489	302
495	310
510	336
472	365
489	437
500	448
501	447
506	237
506	61
